distancia_final,Place of interest,Place address,Type of place,BiciMAD station,Station location
218.55421243301652,Iglesia Evangélica Filadelfia del Centro,CALLE RODRIGO DE GUEVARA 2,Templos no católicos,39 - Plaza de la Cebada,Plaza de la Cebada nº 16 
280.65413444617974,"Iglesia Evangélica Fuente de la Vida, Asambleas de Dios",CALLE SIERRA CARBONERA 31,Templos no católicos,227 - Concordia,Calle Arroyo del Olivar nº 6
2479.9042502528464,Iglesia Evangélica Jesús es el Señor Torre Fuerte,CALLE BLANDON 6,Templos no católicos,224 - Caramuel,Calle Caramuel nº 51
5343.478530175311,Iglesia Evangélica Las Águilas,CALLE FUERTE DE NAVIDAD 19,Templos no católicos,224 - Caramuel,Calle Caramuel nº 51
1701.085589244495,Iglesia Evangélica Manantial de Vida Center,AVENIDA CERRO DE LOS ANGELES 10 PLANTA 1 B,Templos no católicos,228 - San Delfín,Calle San Delfín nº 9
4417.8098255172035,Iglesia Evangélica Ministerio Pasión por Cristo,CALLE REUS 8,Templos no católicos,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
1036.4009381765231,Iglesia Evangélica Nueva Vida,"CALLE ARGOS 13 o calle Caunedo, 16",Templos no católicos,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
232.74130416645147,Iglesia Evangélica Pentecostal Amistad Cristiana,CALLE VALLEHERMOSO 70,Templos no católicos,245 - Galileo,Calle Galileo nº 63
556.8396379137815,Iglesia Evangélica Pentecostal Bethel,CALLE FERNANDO DIAZ DE MENDOZA 3,Templos no católicos,228 - San Delfín,Calle San Delfín nº 9
1011.1671895115375,Iglesia Evangélica Pentecostal Misión 1909,CALLE VIRGEN DE BELEN 42 PLANTA BAJO,Templos no católicos,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
4721.824571437882,Iglesia Evangélica Pentecostal Salem,CALLE CIDRO 8,Templos no católicos,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
3224.1305377585973,Iglesia Evangélica Pueblo Nuevo,CALLE VILLACARLOS 14,Templos no católicos,221 - Pavones,Calle Hacienda de Pavones nº 342
2699.872575391463,Iglesia Evangélica Servidores de Vida,CALLE CASTROJERIZ 8,Templos no católicos,224 - Caramuel,Calle Caramuel nº 51
3593.164519029945,Iglesia Evangélica de Aluche,CALLE NUESTRA SEÑORA DE LA LUZ 118,Templos no católicos,224 - Caramuel,Calle Caramuel nº 51
257.81883708191924,Iglesia Evangélica de Hermanos El Shadday,CALLE MARIA PEDRAZA 11,Templos no católicos,237 - Pablo Iglesias,Calle Francisco Balseiro nº 1
2080.150264043597,Iglesia Evangélica del Nazareno,CALLE PELICANO 26,Templos no católicos,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
4602.217097379841,Iglesia Evangélica. Calle Tembleque,CALLE TEMBLEQUE 140,Templos no católicos,224 - Caramuel,Calle Caramuel nº 51
4446.9084398222,Iglesia Gloria de Dios,CALLE MAQUEDA 30 LOCAL 60,Templos no católicos,224 - Caramuel,Calle Caramuel nº 51
855.7177075418831,Iglesia Internacional Alianza de Amor,CALLE ANTONIO GONZALEZ PORRAS 25,Templos no católicos,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
2196.968174484814,Iglesia Jesús es el Maestro,CALLE ALEJANDRINA MORAN 24,Templos no católicos,224 - Caramuel,Calle Caramuel nº 51
231.19094742629616,Iglesia Madres Dominicas (Monasterio Santo Domingo el Real),CALLE CLAUDIO COELLO 112,Templos católicos,190 - Velázquez-Diego de León,Calle Velázquez nº 91
2549.387082698673,Iglesia Ministerio Belem,CALLE GAVIOTA 55 PLANTA 1,Templos no católicos,224 - Caramuel,Calle Caramuel nº 51
2173.9451458753415,Iglesia Ministerio Denuedo,CALLE MINEROS 12 PLANTA 1,Templos no católicos,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
3337.2647292884817,Iglesia Nuestra Señora de Lourdes y San Justino. Iglesia de la Renovación Carismática,CALLE SAN JUAN DE MATA 30,Templos católicos,224 - Caramuel,Calle Caramuel nº 51
93.69232295600784,Iglesia Nuestra Señora de Montserrat,CALLE SAN BERNARDO 79,Templos católicos,12 - San Hermenegildo,Calle San Bernardo nº 85
288.00651962949803,Iglesia Nuestra Señora de la Paz,CALLE DOCTOR ESQUERDO 44,Templos católicos,101 - Jorge Juan,Calle Jorge Juan nº 131
5913.441216649757,Iglesia Punto de Encuentro,CALLE RESINA 13 PLANTA 1 Nave 11,Templos no católicos,213 - Glorieta de Cádiz,Calle Antonio López nº 129
77.40326372556149,Iglesia San Antonio de los Alemanes,CALLE CORREDERA BAJA DE SAN PABLO 16,Templos católicos,17 - Carlos Cambronero,Plaza de Carlos Cambronero nº 2
282.5458711771215,Iglesia San José de la Montaña,CALLE FERNANDEZ DE LA HOZ 16,Templos católicos,122 - Santa Engracia 14,Calle Santa Engracia nº 14
116.24785683069057,Iglesia San Pedro el Viejo,CALLE NUNCIO 14,Templos católicos,35 - Plaza del Cordón,Plaza del Cordón
270.6898727173874,Iglesia de Cristo - Madrid,CALLE TERUEL 25,Templos no católicos,152 - General Perón 1,Avenida del General Perón frente al nº 4
